shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_537_1,24.80018,125.2839,360013
shapes_537_1,24.80018,125.2839,370001
shapes_537_1,24.8,125.28366,370002
shapes_537_1,24.79972,125.28329,370003
shapes_537_1,24.79952,125.28304,370004
shapes_537_1,24.79923,125.28271,370005
shapes_537_1,24.79982,125.28234,370006
shapes_537_1,24.80148,125.28131,370007
shapes_537_1,24.80189,125.28093,370008
shapes_537_1,24.80213,125.28069,370009
shapes_537_1,24.80213,125.28069,380001
shapes_537_1,24.80279,125.28004,380002
shapes_537_1,24.80321,125.27968,380003
shapes_537_1,24.80342,125.27951,380004
shapes_537_1,24.80344,125.27949,380005
shapes_537_1,24.80344,125.27949,390001
shapes_537_1,24.80395,125.27907,390002
shapes_537_1,24.80368,125.27881,390003
shapes_537_1,24.80322,125.27837,390004
shapes_537_1,24.80279,125.27816,390005
shapes_537_1,24.80254,125.27796,390006
shapes_537_1,24.80218,125.27761,390007
shapes_537_1,24.80212,125.27756,390008
shapes_537_1,24.80197,125.27742,390009
shapes_537_1,24.80173,125.27723,390010
shapes_537_1,24.8015,125.27719,390011
shapes_537_1,24.80121,125.27718,390012
shapes_537_1,24.80102,125.27697,390013
shapes_537_1,24.80087,125.27663,390014
shapes_537_1,24.80073,125.27621,390015
shapes_537_1,24.8005,125.27587,390016
shapes_537_1,24.80014,125.27558,390017
shapes_537_1,24.80004,125.2755,390018
shapes_537_1,24.79977,125.27528,390019
shapes_537_1,24.79968,125.2752,390020
shapes_537_1,24.79936,125.27559,390021
shapes_537_1,24.79936,125.27559,400001
shapes_537_1,24.79968,125.2752,400002
shapes_537_1,24.79977,125.27528,400003
shapes_537_1,24.80004,125.2755,400004
shapes_537_1,24.80004,125.2755,410001
shapes_537_1,24.79977,125.27528,410002
shapes_537_1,24.79968,125.2752,410003
shapes_537_1,24.79943,125.27498,410004
shapes_537_1,24.79907,125.27472,410005
shapes_537_1,24.79861,125.27442,410006
shapes_537_1,24.79847,125.27433,410007
shapes_537_1,24.798,125.27386,410008
shapes_537_1,24.79767,125.27357,410009
shapes_537_1,24.79761,125.27352,410010
shapes_537_1,24.79716,125.27303,410011
shapes_537_1,24.79674,125.27252,410012
shapes_537_1,24.79674,125.27252,420001
